19.1704998,-155.4626617,32.7,2.02
36.1863333,-118.0975,0.23,1.85
37.4246674,-118.9053345,2.65,1.28
39.1664,-119.9032,10.9,2.2
38.8224983,-122.7649994,1.84,0.87
62.1642,-150.0496,13.1,1.6
62.1673,-148.5715,25.6,1.7
38.7898331,-122.8003311,5.35,0.31
59.9565,-152.6539,93.8,2.6
37.3057,-118.4005,10.8,1.1
33.4986667,-116.794,4.72,0.56
62.4797,-150.2506,7.4,1.9
38.2868,-118.7645,10.7,0.6
59.322,-152.5076,66.9,2.2
38.8240013,-122.7898331,-0.16,0.39
39.3479,-117.608,2.7,1.2
-21.2812,171.3934,10,4.9
37.3218346,-118.3974991,8.33,1.42
33.2798333,-116.6696667,11.63,0.51
60.974,-152.4253,0,2.4
34.4338,45.6848,10,5.3
33.4985,-116.7956667,3.99,0.73
33.5081667,-116.7968333,2.8,0.67
34.3042,45.7402,10,6.3
38.3811,-118.8909,9,0.9
38.8056679,-122.805336,0.3,0.45
19.3676662,-154.9125061,2.68,1.72
38.8235016,-122.7913361,0.23,2.41
33.488,-116.7916667,4.24,1.1
13.0131,-81.2118,10,4.5
37.143,-116.3071,9,0.6
33.8938333,-116.8791667,14.7,1.78
60.0738,-151.442,71.5,1.8
33.5098333,-116.8001667,4.14,0.5
39.3436,-117.6272,13.4,1.7
13.0668,-81.2015,10,4.9
38.8173332,-122.8248367,2.57,0.9
37.6344986,-118.904335,5.88,1.18
59.5802,-151.4117,30.1,2
33.6661667,-116.714,16.05,0.85
59.7062,-152.2187,55.6,1.9
18.1266,-67.4401,48,2.7
61.425,-150.0896,46.7,1.4
37.6339989,-118.9039993,5.86,1.06
19.4033337,-155.4368286,-1.42,1.7
19.2019997,-155.4613342,36.57,1.8
37.6338348,-118.9045029,6.09,1.61
33.1676667,-115.9831667,5.21,1.42
33.5253333,-116.789,4.35,0.04
37.292,-116.7896,9.8,0.3
39.4898,-118.4505,9,1.1
33.1833333,-116.7178333,12.53,0.61
33.4991667,-116.7985,3.91,1.12
18.0808,146.5149,77.04,4.6
33.5085,-116.7995,3.91,0.49
18.1073,-66.9765,11,1.69
38.2956,-118.7573,9.6,0.3
39.223,-120.0867,7.4,0.6
47.6813333,-113.142,9.08,2.82
44.703,81.514,10,5
19.1625004,-155.536499,31.66,2.53
33.673,-116.771,14,0.6
32.3153333,-115.0993333,19.6,2.3
33.713,-116.819,20.6,0.46
18.7871,-67.3568,9,2.32
33.4991667,-116.7921667,4.46,0.6
17.9198,-66.015,14,2
17.9325,-67.128,13,1.43
13.1285,-81.159,10,4.4
33.0411667,-116.4728333,8.96,0.79
38.7798347,-122.7129974,2.19,1.1
